iter	Passed	Remaining
0	489	488825
1	726	362574
2	987	328210
3	1235	307736
4	1482	295057
5	1735	287459
6	1986	281842
7	2236	277368
8	2485	273687
9	2747	271975
10	2991	268971
11	3240	266773
12	3488	264867
13	3734	263028
14	3978	261264
15	4225	259846
16	4471	258580
17	4723	257684
18	4963	256290
19	5211	255348
20	5462	254644
21	5708	253755
22	5956	253042
23	6201	252213
24	6445	251375
25	6689	250602
26	6938	250032
27	7182	249345
28	7420	248449
29	7665	247859
30	7910	247277
31	8154	246678
32	8399	246118
33	8644	245607
34	8886	245020
35	9133	244568
36	9382	244204
37	9634	243904
38	9884	243566
39	10130	243130
40	10369	242550
41	10614	242105
42	10861	241728
43	11104	241280
44	11350	240886
45	11592	240418
46	11840	240085
47	12086	239722
48	12341	239519
49	12588	239176
50	12830	238748
51	13071	238301
52	13314	237899
53	13557	237512
54	13802	237146
55	14051	236871
56	14296	236520
57	14539	236144
58	14778	235704
59	15022	235346
60	15266	234996
61	15502	234534
62	15739	234093
63	15979	233696
64	16214	233236
65	16455	232874
66	16692	232451
67	16926	231990
68	17169	231657
69	17409	231300
70	17653	230990
71	17896	230661
72	18133	230272
73	18374	229931
74	18608	229500
75	18847	229145
76	19099	228946
77	19331	228512
78	19579	228263
79	19821	227949
80	20060	227595
81	20301	227280
82	20540	226940
83	20780	226609
84	21033	226415
85	21313	226515
86	21568	226341
87	21854	226488
88	22150	226733
89	22441	226904
90	22705	226803
91	22966	226669
92	23230	226564
93	23494	226442
94	23748	226231
95	24001	226017
96	24252	225774
97	24568	226130
98	24828	225967
99	25085	225770
100	25338	225536
101	25597	225356
102	25857	225185
103	26109	224942
104	26358	224676
105	26609	224422
106	26871	224260
107	27135	224115
108	27382	223836
109	27645	223675
110	27906	223501
111	28161	223276
112	28419	223083
113	28683	222923
114	28938	222698
115	29184	222407
116	29434	222139
117	29687	221904
118	29944	221687
119	30203	221493
120	30470	221348
121	30711	221023
122	30957	220729
123	31206	220459
124	31460	220221
125	31707	219941
126	31958	219685
127	32210	219435
128	32456	219142
129	32715	218944
130	32971	218720
131	33204	218343
132	33438	217981
133	33677	217647
134	33909	217271
135	34150	216956
136	34383	216593
137	34619	216247
138	34858	215920
139	35100	215616
140	35337	215282
141	35572	214937
142	35805	214581
143	36041	214247
144	36284	213952
145	36521	213626
146	36766	213343
147	37002	213012
148	37230	212638
149	37466	212307
150	37702	211980
151	37944	211688
152	38187	211403
153	38425	211093
154	38659	210757
155	38894	210429
156	39127	210091
157	39365	209785
158	39609	209507
159	39846	209195
160	40089	208912
161	40325	208597
162	40573	208344
163	40870	208341
164	41114	208066
165	41354	207770
166	41640	207704
167	41880	207408
168	42116	207091
169	42354	206791
170	42592	206486
171	42831	206187
172	43070	205892
173	43301	205558
174	43542	205272
175	43788	205011
176	44025	204707
177	44261	204396
178	44490	204061
179	44731	203778
180	44969	203482
181	45211	203204
182	45459	202954
183	45700	202671
184	45932	202349
185	46164	202030
186	46404	201749
187	46638	201437
188	46877	201149
189	47110	200841
190	47346	200539
191	47581	200238
192	47820	199953
193	48052	199638
194	48288	199346
195	48519	199030
196	48753	198725
197	48991	198438
198	49231	198164
199	49470	197881
200	49703	197575
201	49939	197284
202	50175	196994
203	50421	196741
204	50664	196479
205	50900	196189
206	51138	195907
207	51383	195652
208	51624	195384
209	51869	195129
210	52111	194863
211	52347	194573
212	52578	194269
213	52816	193989
214	53074	193785
215	53322	193540
216	53569	193295
217	53822	193067
218	54079	192857
219	54339	192657
220	54584	192403
221	54819	192116
222	55066	191868
223	55306	191598
224	55556	191362
225	55817	191162
226	56067	190927
227	56318	190693
228	56560	190427
229	56796	190144
230	57030	189856
231	57269	189580
232	57508	189309
233	57748	189038
234	57981	188747
235	58216	188462
236	58452	188181
237	58695	187923
238	58934	187652
239	59168	187367
240	59412	187110
241	59648	186833
242	59890	186571
243	60133	186314
244	60371	186043
245	60609	185770
246	60845	185491
247	61081	185214
248	61317	184938
249	61560	184681
250	61802	184421
251	62046	184169
252	62291	183920
253	62532	183658
254	62771	183392
255	63008	183118
256	63249	182856
257	63513	182663
258	63760	182419
259	64000	182155
260	64253	181927
261	64501	181686
262	64746	181438
263	64980	181156
264	65229	180920
265	65469	180656
266	65719	180422
267	65962	180165
268	66203	179907
269	66439	179632
270	66681	179376
271	66923	179118
272	67162	178853
273	67405	178599
274	67650	178351
275	67899	178113
276	68152	177884
277	68391	177620
278	68631	177360
279	68876	177111
280	69121	176861
281	69364	176607
282	69610	176362
283	69861	176129
284	70105	175877
285	70347	175622
286	70591	175371
287	70836	175122
288	71082	174877
289	71324	174621
290	71577	174392
291	71829	174161
292	72074	173912
293	72319	173666
294	72564	173417
295	72802	173152
296	73044	172896
297	73285	172639
298	73529	172388
299	73772	172136
300	74021	171897
301	74260	171635
302	74496	171367
303	74728	171088
304	74971	170835
305	75210	170575
306	75452	170320
307	75688	170053
308	75927	169793
309	76167	169533
310	76409	169281
311	76650	169024
312	76887	168760
313	77116	168477
314	77358	168223
315	77596	167961
316	77833	167698
317	78070	167433
318	78306	167168
319	78544	166907
320	78782	166645
321	79019	166382
322	79261	166130
323	79504	165880
324	79746	165627
325	79974	165345
326	80213	165088
327	80455	164834
328	80697	164583
329	80936	164325
330	81238	164195
331	81501	163984
332	81781	163809
333	82079	163666
334	82365	163502
335	82631	163296
336	82887	163069
337	83145	162847
338	83411	162641
339	83667	162413
340	83927	162195
341	84182	161965
342	84436	161734
343	84699	161520
344	84949	161280
345	85215	161071
346	85466	160835
347	85717	160597
348	85974	160370
349	86231	160144
350	86482	159906
351	86747	159693
352	87001	159462
353	87253	159224
354	87510	158997
355	87764	158764
356	88024	158541
357	88262	158281
358	88513	158041
359	88762	157800
360	89009	157554
361	89260	157315
362	89512	157078
363	89764	156841
364	90023	156616
365	90275	156379
366	90525	156137
367	90767	155884
368	91022	155650
369	91275	155415
370	91552	155219
371	91808	154988
372	92054	154741
373	92299	154491
374	92547	154245
375	92789	153991
376	93023	153723
377	93260	153460
378	93505	153211
379	93754	152967
380	93998	152717
381	94234	152452
382	94465	152180
383	94702	151918
384	94939	151656
385	95174	151391
386	95409	151126
387	95652	150875
388	95888	150611
389	96182	150438
390	96425	150187
391	96660	149921
392	96944	149733
393	97189	149484
394	97428	149225
395	97669	148971
396	97904	148705
397	98140	148443
398	98383	148191
399	98620	147931
400	98853	147663
401	99086	147396
402	99328	147144
403	99571	146892
404	99810	146635
405	100050	146379
406	100286	146117
407	100526	145861
408	100763	145602
409	101004	145347
410	101243	145090
411	101483	144836
412	101721	144578
413	101966	144328
414	102203	144069
415	102449	143823
416	102685	143563
417	102915	143293
418	103151	143033
419	103392	142779
420	103632	142525
421	103869	142267
422	104107	142009
423	104338	141742
424	104576	141486
425	104817	141232
426	105060	140982
427	105295	140721
428	105539	140472
429	105774	140213
430	106011	139955
431	106249	139698
432	106486	139441
433	106728	139189
434	106960	138926
435	107199	138671
436	107432	138407
437	107673	138155
438	107912	137902
439	108149	137645
440	108380	137380
441	108620	137127
442	108860	136874
443	109103	136624
444	109338	136365
445	109576	136110
446	109808	135848
447	110045	135591
448	110287	135342
449	110521	135081
450	110759	134827
451	110997	134572
452	111234	134316
453	111473	134062
454	111716	133814
455	111960	133566
456	112192	133305
457	112430	133050
458	112663	132791
459	112901	132537
460	113137	132279
461	113373	132023
462	113610	131768
463	113841	131506
464	114079	131252
465	114309	130989
466	114553	130742
467	114787	130484
468	115030	130236
469	115272	129987
470	115510	129734
471	115746	129478
472	115988	129230
473	116226	128977
474	116463	128722
475	116694	128461
476	116932	128209
477	117172	127958
478	117418	127713
479	117654	127459
480	117887	127200
481	118121	126943
482	118360	126692
483	118599	126440
484	118841	126192
485	119079	125939
486	119317	125688
487	119553	125432
488	119794	125184
489	120037	124936
490	120281	124690
491	120520	124440
492	120761	124190
493	120999	123938
494	121230	123679
495	121473	123432
496	121714	123183
497	121959	122939
498	122203	122692
499	122438	122438
500	122681	122191
501	122923	121943
502	123160	121691
503	123397	121439
504	123635	121187
505	123874	120936
506	124118	120691
507	124364	120447
508	124605	120198
509	124845	119949
510	125089	119703
511	125330	119455
512	125572	119208
513	125810	118956
514	126046	118704
515	126289	118457
516	126527	118206
517	126768	117958
518	127016	117716
519	127252	117463
520	127485	117208
521	127731	116964
522	127962	116708
523	128203	116459
524	128449	116216
525	128679	115958
526	128923	115713
527	129163	115464
528	129407	115218
529	129648	114971
530	129889	114723
531	130127	114472
532	130366	114223
533	130607	113976
534	130850	113729
535	131084	113475
536	131323	113226
537	131564	112978
538	131802	112728
539	132034	112473
540	132272	112224
541	132513	111976
542	132750	111725
543	132983	111471
544	133222	111222
545	133460	110972
546	133701	110725
547	133938	110475
548	134178	110227
549	134416	109977
550	134656	109728
551	134894	109479
552	135142	109238
553	135386	108993
554	135629	108747
555	135870	108501
556	136107	108250
557	136350	108005
558	136584	107752
559	136823	107504
560	137062	107255
561	137299	107005
562	137544	106761
563	137790	106518
564	138030	106270
565	138270	106023
566	138504	105771
567	138751	105528
568	138993	105282
569	139242	105042
570	139479	104792
571	139718	104544
572	139957	104296
573	140190	104044
574	140430	103796
575	140669	103548
576	140920	103309
577	141181	103077
578	141445	102847
579	141698	102609
580	141972	102386
581	142277	102185
582	142571	101976
583	142829	101741
584	143091	101509
585	143351	101275
586	143599	101033
587	143845	100789
588	144092	100546
589	144391	100339
590	144651	100105
591	144901	99864
592	145148	99620
593	145398	99380
594	145652	99141
595	145904	98901
596	146144	98653
597	146382	98404
598	146625	98158
599	146878	97918
600	147129	97678
601	147387	97442
602	147639	97202
603	147894	96963
604	148139	96719
605	148387	96476
606	148642	96238
607	148891	95995
608	149147	95757
609	149395	95514
610	149654	95278
611	149914	95043
612	150177	94810
613	150431	94570
614	150676	94326
615	150940	94092
616	151200	93856
617	151455	93617
618	151701	93373
619	151946	93128
620	152190	92882
621	152451	92647
622	152706	92408
623	152947	92160
624	153192	91915
625	153430	91666
626	153668	91416
627	153906	91167
628	154150	90921
629	154390	90673
630	154630	90425
631	154868	90176
632	155099	89923
633	155343	89677
634	155587	89432
635	155834	89188
636	156069	88937
637	156306	88688
638	156551	88443
639	156794	88197
640	157036	87950
641	157279	87704
642	157523	87458
643	157763	87210
644	158009	86966
645	158253	86720
646	158497	86475
647	158734	86226
648	158973	85977
649	159208	85727
650	159454	85483
651	159696	85236
652	159938	84990
653	160171	84739
654	160409	84490
655	160712	84275
656	160953	84029
657	161192	83780
658	161476	83556
659	161721	83310
660	161961	83063
661	162205	82818
662	162447	82571
663	162689	82325
664	162932	82078
665	163174	81832
666	163414	81584
667	163657	81338
668	163899	81092
669	164142	80846
670	164381	80598
671	164616	80348
672	164858	80102
673	165097	79854
674	165330	79603
675	165571	79356
676	165810	79108
677	166048	78860
678	166288	78613
679	166537	78370
680	166779	78124
681	167023	77878
682	167265	77632
683	167505	77385
684	167744	77137
685	167988	76892
686	168226	76644
687	168463	76396
688	168708	76151
689	168950	75905
690	169188	75657
691	169426	75409
692	169670	75164
693	169908	74916
694	170149	74670
695	170391	74423
696	170638	74180
697	170880	73933
698	171125	73689
699	171367	73443
700	171610	73197
701	171854	72952
702	172103	72709
703	172360	72469
704	172605	72225
705	172858	71983
706	173099	71737
707	173341	71491
708	173581	71244
709	173823	70998
710	174057	70748
